"msgid","msgstr"
"  ",""
" Address"," العنوان"
" Amount"," المبلغ"
" BOM"," قائمة المواد"
" Is Child Table"," هل هو جدول فرعي"
" Is Subcontracted"," هل هو تعاقد من الباطن"
" Item"," الصنف"
" Name"," الاسم"
" Rate"," السعر"
" Raw Material"," مادة خام"
" Reserve Stock"," حجز المخزون"
" Skip Material Transfer"," تخطي نقل المواد"
" Sub Assembly"," تجميع فرعي"
" Summary"," ملخص"
"""Customer Provided Item"" cannot be Purchase Item also","""الأصناف المقدمة من العملاء"" لا يمكن شرائها"
"""Customer Provided Item"" cannot have Valuation Rate","""الأصناف المقدمة من العملاء"" لا يمكن ان تحتوي على تكلفة"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""اصل ثابت"" لا يمكن أن يكون غير محدد، حيث يوجد سجل أصول مقابل البند"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" لـ ""SN-01"" إلى ""SN-10"""
"# In Stock","# في المخزون"
"# Req'd Items","# الأصناف المطلوبة"
"%  Delivered","٪ تم التسليم"
"% Amount Billed","٪ المبلغ المفوتر"
"% Billed","٪ مفوتر"
"% Complete Method","٪ طريقة الإكمال"
"% Completed","٪ مكتمل"
"% Finished Item Quantity","٪ كمية الصنف المنتهي"
"% Installed","٪ تم التركيب"
"% Occupied","٪ مشغول"
"% Of Grand Total","٪ من المجموع الكلي"
"% Ordered","% تم طلبه"
"% Picked","٪ تم الانتقاء"
"% Process Loss","٪ خسارة العملية"
"% Progress","٪ التقدم"
"% Received","% تم استلامه"
"% Returned","% تم إرجاعه"
"% of materials billed against this Sales Order","٪ المواد المفوترة مقابل أمر البيع هذا"
"% of materials delivered against this Sales Order","٪ المواد المسلمة مقابل أمر البيع هذا"
"'Account' in the Accounting section of Customer {0}","'الحساب' في قسم المحاسبة للعميل {0}"
"'Allow Multiple Sales Orders Against a Customer's Purchase Order'","'السماح بأوامر بيع متعددة مقابل أمر شراء العميل'"
"'Based On' and 'Group By' can not be same","'على أساس' و 'المجموعة حسب' لا يمكن أن يكونا نفس الشيء"
"'Date' is required","&quot;التاريخ&quot; مطلوب"
"'Days Since Last Order' must be greater than or equal to zero","يجب أن تكون ""الأيام منذ آخر طلب"" أكبر من أو تساوي الصفر"
"'Default {0} Account' in Company {1}","'حساب {0} الافتراضي' في الشركة {1}"
"'Entries' cannot be empty","المدخلات لا يمكن أن تكون فارغة"
"'From Date' is required","من تاريخ (مطلوب)"
"'From Date' must be after 'To Date'","""من تاريخ "" يجب أن يكون بعد "" إلى تاريخ """
"'Has Serial No' can not be 'Yes' for non-stock item","""لهُ رقم تسلسل""  لا يمكن ان يكون ""نعم"" لبند غير قابل للتخزين"
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","تم تعطيل 'الفحص مطلوب قبل التسليم' للصنف {0}، لا حاجة لإنشاء فحص الجودة"
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","تم تعطيل 'الفحص مطلوب قبل الشراء' للصنف {0}، لا حاجة لإنشاء فحص الجودة"
"'Opening'","'افتتاحي'"
"'To Date' is required","' إلى تاريخ ' مطلوب"
"'To Package No.' cannot be less than 'From Package No.'","'رقم الطرد إلى' لا يمكن أن يكون أقل من 'رقم الطرد من'."
"'Update Stock' can not be checked because items are not delivered via {0}","&quot;الأوراق المالية التحديث&quot; لا يمكن التحقق من أنه لم يتم تسليم المواد عن طريق {0}"
"'Update Stock' cannot be checked for fixed asset sale","لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة\
<br>\
'Update Stock' cannot be checked for fixed asset sale"
"'{0}' account is already used by {1}. Use another account.","الحساب '{0}' مستخدم بالفعل بواسطة {1}. استخدم حسابًا آخر."
"'{0}' has been already added.","تمت إضافة '{0}' بالفعل."
"'{0}' should be in company currency {1}.","يجب أن يكون '{0}' بعملة الشركة {1}."
"(A) Qty After Transaction","(أ) الكمية بعد المعاملة"
"(B) Expected Qty After Transaction","(ب) الكمية المتوقعة بعد المعاملة"
"(C) Total Qty in Queue","(ج) إجمالي الكمية في قائمة الانتظار"
"(C) Total qty in queue","(ج) إجمالي الكمية في قائمة الانتظار"
"(D) Balance Stock Value","(د) قيمة رصيد المخزون"
"(E) Balance Stock Value in Queue","(هـ) قيمة رصيد المخزون في قائمة الانتظار"
"(F) Change in Stock Value","(و) التغير في قيمة المخزون"
"(Forecast)","(توقعات)"
