"msgid","msgstr"
" to your browser","لمتصفحك"
"!=","لا يساوي"
"""Company History""","""نبذة عن الشركة"""
"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف"
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة"""
"""amended_from"" field must be present to do an amendment.","يجب أن يكون الحقل &quot;amended_from&quot; حاضرًا لإجراء تعديل."
"""{0}"" is not a valid Google Sheets URL","&quot;{0}&quot; ليس عنوان URL صالحًا لجداول بيانات Google"
"#{0}","#{0}"
"${values.doctype_name} has been added to queue for optimization","تمت إضافة ${values.doctype_name} إلى قائمة الانتظار للتحسين"
"&copy; Frappe Technologies Pvt. Ltd. and contributors",""
"&lt;head&gt; HTML","HTML"
"'In Global Search' is not allowed for field {0} of type {1}","خاصية ""في البحث العام"" غير مسموح بها للحقل {0} من النوع {1}"
"'In Global Search' not allowed for type {0} in row {1}","""في البحث العام"" غير مسموح للنوع {0} في الصف {1}"
"'In List View' is not allowed for field {0} of type {1}","خاصية ""في عرض القائمة"" غير مسموح بها للحقل {0} من النوع {1}"
"'In List View' not allowed for type {0} in row {1}","'في عرض القائمة' غير مسموح للنوع {0} في الصف {1}"
"'Recipients' not specified","لم يتم تحديد &quot;المستلمين&quot;"
"'{0}' is not a valid URL","""{0}"" ليس عنوان URL صالحًا"
"'{0}' not allowed for type {1} in row {2}","&quot;{0}&quot; غير مسموح به للنوع {1} في الصف {2}"
"(Mandatory)","(إلزامي)"
"** Failed: {0} to {1}: {2}","** فشل: {0} إلى {1}: {2}"
"+ Add / Remove Fields","+ إضافة / إزالة حقول"
"0 - Draft; 1 - Submitted; 2 - Cancelled","0 - مسودّة؛ 1 - تأكيد؛ 2 - إلغاء"
"0 is highest","0 أعلى قيمة"
"1 = True & 0 = False","1 = صحيح و 0 = خطأ"
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 عملة = [؟] كسر
على سبيل المثال 1 دولار أمريكي = 100 سنت"
"1 Day","يوم واحد"
"1 Google Calendar Event synced.","تمت مزامنة حدث تقويم Google واحد."
"1 Report","تقرير واحد"
"1 comment","تعليق واحد"
"1 day ago","منذ يوم واحد"
"1 hour","ساعة واحدة"
"1 hour ago","منذ 1 ساعة"
"1 minute ago","منذ 1 دقيقة"
"1 month ago","قبل شهر"
"1 of 2","1 من 2"
"1 record will be exported","سيتم تصدير سجل واحد"
"1 second ago","منذ ثانية واحدة"
"1 week ago","1 قبل أسبوع"
"1 year ago","منذ سنة"
"2 hours ago","منذ ساعتين"
"2 months ago","منذ شهرين"
"2 weeks ago","منذ أسبوعين"
"2 years ago","منذ سنتين"
"3 minutes ago","منذ 3 دقائق"
"30 minutes","30 دقيقة"
"4 hours","4 ساعات"
"5 Records","5 السجلات"
"5 days ago","منذ 5 أيام"
"; not allowed in condition","; غير مسموح به في حالة"
"<","<"
"<=","<="
"<b>{0}</b> is not a valid URL","<b>{0}</b> ليس عنوان URL صالحًا"
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">يرجى عدم تحديثه لأنه قد يتسبب في فوضى في النموذج الخاص بك. استخدم عرض تخصيص النموذج والحقول المخصصة لتعيين الخصائص!</div>"
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    عدّل قائمة السلاسل في المربع. القواعد:
    <ul>
        <li>كل بادئة سلسلة في سطر جديد.</li>
        <li>الأحرف الخاصة المسموح بها هي ""/"" و ""-"".</li>
        <li>
            اختياريًا، قم بتعيين عدد الأرقام في السلسلة باستخدام نقطة (.)
            تليها علامات الهاش (#). على سبيل المثال، "".####"" تعني أن السلسلة
            ستحتوي على أربعة أرقام. الافتراضي هو خمسة أرقام.
        </li>
        <li>
            يمكنك أيضًا استخدام المتغيرات في اسم السلسلة عن طريق وضعها
            بين نقاط (.)
            <br>
            المتغيرات المدعومة:
            <ul>
                <li><code>.YYYY.</code> - السنة بأربعة أرقام</li>
                <li><code>.YY.</code> - السنة برقمين</li>
                <li><code>.MM.</code> - الشهر</li>
                <li><code>.DD.</code> - يوم الشهر</li>
                <li><code>.WW.</code> - أسبوع السنة</li>
                <li>
                    <code>.{fieldname}.</code> - اسم الحقل في المستند، على سبيل المثال
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - السنة المالية (يتطلب تثبيت ERPNext)</li>
                <li><code>.ABBR.</code> - اختصار الشركة (يتطلب تثبيت ERPNext)</li>
            </ul>
        </li>
    </ul>
    أمثلة:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
"
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>مساعدة CSS المخصصة</h3>

<p>ملاحظات:</p>

<ol>
<li>جميع مجموعات الحقول (التسمية + القيمة) يتم تعيين سماتها <code>data-fieldtype</code> و <code>data-fieldname</code></li>
<li>جميع القيم تُعطى الفئة <code>value</code></li>
<li>جميع فواصل الأقسام تُعطى الفئة <code>section-break</code></li>
<li>جميع فواصل الأعمدة تُعطى الفئة <code>column-break</code></li>
</ol>

<h4>أمثلة</h4>

<p>1. محاذاة الأعداد الصحيحة إلى اليسار</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. إضافة حد سفلي للأقسام باستثناء القسم الأخير</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
"
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
",""
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",""
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>مثال على الرد بالبريد الإلكتروني</h4>

<pre>طلب متأخر

تجاوزت المعاملة {{ name }} تاريخ الاستحقاق. يرجى اتخاذ الإجراء اللازم.

التفاصيل

- العميل: {{ customer }}
- المبلغ: {{ grand_total }}
</pre>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب البريد الإلكتروني هي الحقول الموجودة في المستند الذي ترسل منه البريد الإلكتروني. يمكنك معرفة حقول أي مستند من خلال الإعداد &gt; تخصيص طريقة عرض النموذج واختيار نوع المستند (مثلا: فاتورة المبيعات)</p>

<h4>القوالب</h4>

<p>يتم تجميع القوالب باستخدام لغة Jinja Templating Language. لمعرفة المزيد عن Jinja، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذه التوثيقات</a>.</p>
"
