"msgid","msgstr"
" Unlink Payment on Cancellation of Employee Advance","إلغاء ربط الدفع عند إلغاء تقدم الموظفين"
"""From Date"" can not be greater than or equal to ""To Date""","لا يمكن أن يكون ""من التاريخ"" أكبر من أو يساوي ""حتى الآن"""
"% Utilization (B + NB) / T","٪ استخدام (B + NB) / T"
"% Utilization (B / T)","استخدام ٪ (ب / ر)"
"'employee_field_value' and 'timestamp' are required.","مطلوب &quot;employee_field_value&quot; و &quot;الطابع الزمني&quot;."
") for {0}",") لـ {0}"
"0.25","0.25"
"0.5","0.5"
"00:00","00:00"
"01:00","01:00"
"02:00","02:00"
"03:00","03:00"
"04:00","04:00"
"05:00","05:00"
"06:00","06:00"
"07:00","07:00"
"08:00","08:00"
"09:00","09:00"
"1.0","1.0"
"10:00","10:00"
"11:00","11:00"
"12:00","12:00"
"13:00","13:00"
"14:00","14:00"
"15:00","15:00"
"16:00","16:00"
"17:00","17:00"
"18:00","18:00"
"19:00","19:00"
"20:00","20:00"
"21:00","21:00"
"22:00","22:00"
"23:00","23:00"
"<b>Base</b> amount has not been set for the following employee(s): {0}","لم يتم تعيين المبلغ <b> base </b> للموظف (S) التالي: {0}"
"<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972","<b>مثال:</b> SAL- {first_name} - {date_of_birth.year} <br> سيؤدي هذا إلى إنشاء كلمة مرور مثل SAL-Jane-1972"
"<b>Total Leaves Allocated</b> are more than the number of days in the allocation period","<b> إجمالي الأوراق المخصصة </b> أكثر من عدد الأيام في فترة التخصيص"
